case_id,suite,task_id,description,variant,ckpt,vae_memory_enabled,history_video_frames,num_trials,success,remote_video_path,local_video_path_status,notes
object-144,libero_object,144,pick up the milk and place it in the basket table 23,MEMOFF,checkpoints/fastwam_release/libero_uncond_2cam224.pt,false,0,1,true,/tmp/fastwam_case_videos/26-06-21/libero_object_144/memoff/libero_object/videos/2026_06_21-18_51_37--episode=task144_trial0--success=True--task=pick_up_the_milk_and_place_it_in_the_basket_table_.mp4,scp_blocked_by_approval,release baseline
object-144,libero_object,144,pick up the milk and place it in the basket table 23,stage1_h4,runs/mem_temporal_libero/checkpoints/weights/step_021700.pt,true,4,1,false,/tmp/fastwam_case_videos/26-06-21/libero_object_144/stage1/libero_object/videos/2026_06_21-18_53_31--episode=task144_trial0--success=False--task=pick_up_the_milk_and_place_it_in_the_basket_table_.mp4,scp_blocked_by_approval,short-history deployment check; not stage1 original training history
object-144,libero_object,144,pick up the milk and place it in the basket table 23,stage1_h16,runs/mem_temporal_libero/checkpoints/weights/step_021700.pt,true,16,1,true,/tmp/fastwam_case_videos/26-06-21/libero_object_144/stage1_h16/libero_object/videos/2026_06_21-19_00_13--episode=task144_trial0--success=True--task=pick_up_the_milk_and_place_it_in_the_basket_table_.mp4,scp_blocked_by_approval,stage1 training/eval history length
object-144,libero_object,144,pick up the milk and place it in the basket table 23,stage2_step3000_h4,runs/mem_temporal_libero_stage2/checkpoints/weights/step_003000.pt,true,4,1,true,/tmp/fastwam_case_videos/26-06-21/libero_object_144/stage2_step3000/libero_object/videos/2026_06_21-18_53_31--episode=task144_trial0--success=True--task=pick_up_the_milk_and_place_it_in_the_basket_table_.mp4,scp_blocked_by_approval,short-history deployment check
object-144,libero_object,144,pick up the milk and place it in the basket table 23,stage2_step3000_h16,runs/mem_temporal_libero_stage2/checkpoints/weights/step_003000.pt,true,16,1,true,/tmp/fastwam_case_videos/26-06-21/libero_object_144/stage2_step3000_h16/libero_object/videos/2026_06_21-19_00_13--episode=task144_trial0--success=True--task=pick_up_the_milk_and_place_it_in_the_basket_table_.mp4,scp_blocked_by_approval,stage2 training/eval history length; step3000 matches existing full-eval checkpoint
object-144,libero_object,144,pick up the milk and place it in the basket table 23,stage3_step3000_h4,runs/mem_temporal_libero_stage3/checkpoints/weights/step_003000.pt,true,4,1,false,/tmp/fastwam_case_videos/26-06-21/libero_object_144/stage3_step3000/libero_object/videos/2026_06_21-18_53_31--episode=task144_trial0--success=False--task=pick_up_the_milk_and_place_it_in_the_basket_table_.mp4,scp_blocked_by_approval,stage3 trained/evaluated with H4; step3000 is PILOT peak
goal-1190,libero_goal,1190,could you ensure the wine bottle ends up on top of the cabinet,MEMOFF,checkpoints/fastwam_release/libero_uncond_2cam224.pt,false,0,1,true,/tmp/fastwam_case_videos/26-06-21/libero_goal_1190/memoff/libero_goal/videos/2026_06_21-18_55_30--episode=task1190_trial0--success=True--task=could_you_ensure_the_wine_bottle_ends_up_on_top_of.mp4,scp_blocked_by_approval,release baseline
goal-1190,libero_goal,1190,could you ensure the wine bottle ends up on top of the cabinet,stage1_h4,runs/mem_temporal_libero/checkpoints/weights/step_021700.pt,true,4,1,true,/tmp/fastwam_case_videos/26-06-21/libero_goal_1190/stage1/libero_goal/videos/2026_06_21-18_55_30--episode=task1190_trial0--success=True--task=could_you_ensure_the_wine_bottle_ends_up_on_top_of.mp4,scp_blocked_by_approval,short-history deployment check
goal-1190,libero_goal,1190,could you ensure the wine bottle ends up on top of the cabinet,stage1_h16,runs/mem_temporal_libero/checkpoints/weights/step_021700.pt,true,16,1,true,/tmp/fastwam_case_videos/26-06-21/libero_goal_1190/stage1_h16/libero_goal/videos/2026_06_21-19_00_13--episode=task1190_trial0--success=True--task=could_you_ensure_the_wine_bottle_ends_up_on_top_of.mp4,scp_blocked_by_approval,stage1 training/eval history length
goal-1190,libero_goal,1190,could you ensure the wine bottle ends up on top of the cabinet,stage2_step3000_h4,runs/mem_temporal_libero_stage2/checkpoints/weights/step_003000.pt,true,4,1,true,/tmp/fastwam_case_videos/26-06-21/libero_goal_1190/stage2_step3000/libero_goal/videos/2026_06_21-18_55_30--episode=task1190_trial0--success=True--task=could_you_ensure_the_wine_bottle_ends_up_on_top_of.mp4,scp_blocked_by_approval,short-history deployment check
goal-1190,libero_goal,1190,could you ensure the wine bottle ends up on top of the cabinet,stage2_step3000_h16,runs/mem_temporal_libero_stage2/checkpoints/weights/step_003000.pt,true,16,1,true,/tmp/fastwam_case_videos/26-06-21/libero_goal_1190/stage2_step3000_h16/libero_goal/videos/2026_06_21-19_00_13--episode=task1190_trial0--success=True--task=could_you_ensure_the_wine_bottle_ends_up_on_top_of.mp4,scp_blocked_by_approval,stage2 training/eval history length; step3000 matches existing full-eval checkpoint
goal-1190,libero_goal,1190,could you ensure the wine bottle ends up on top of the cabinet,stage3_step3000_h4,runs/mem_temporal_libero_stage3/checkpoints/weights/step_003000.pt,true,4,1,false,/tmp/fastwam_case_videos/26-06-21/libero_goal_1190/stage3_step3000/libero_goal/videos/2026_06_21-18_55_30--episode=task1190_trial0--success=False--task=could_you_ensure_the_wine_bottle_ends_up_on_top_of.mp4,scp_blocked_by_approval,stage3 trained/evaluated with H4; step3000 is PILOT peak
libero10-2165,libero_10,2165,put the white mug on the plate and put the chocolate pudding to the right of the plate add 15,MEMOFF,checkpoints/fastwam_release/libero_uncond_2cam224.pt,false,0,1,false,/tmp/fastwam_case_videos/26-06-21/libero10_2165/memoff/libero_10/videos/2026_06_21-18_57_34--episode=task2165_trial0--success=False--task=put_the_white_mug_on_the_plate_and_put_the_chocola.mp4,scp_blocked_by_approval,release baseline failed
libero10-2165,libero_10,2165,put the white mug on the plate and put the chocolate pudding to the right of the plate add 15,stage1_h4,runs/mem_temporal_libero/checkpoints/weights/step_021700.pt,true,4,1,false,/tmp/fastwam_case_videos/26-06-21/libero10_2165/stage1/libero_10/videos/2026_06_21-18_57_34--episode=task2165_trial0--success=False--task=put_the_white_mug_on_the_plate_and_put_the_chocola.mp4,scp_blocked_by_approval,H4 loses the stage1 H16 benefit on this long task
libero10-2165,libero_10,2165,put the white mug on the plate and put the chocolate pudding to the right of the plate add 15,stage1_h16,runs/mem_temporal_libero/checkpoints/weights/step_021700.pt,true,16,1,true,/tmp/fastwam_case_videos/26-06-21/libero10_2165/stage1_h16/libero_10/videos/2026_06_21-19_00_13--episode=task2165_trial0--success=True--task=put_the_white_mug_on_the_plate_and_put_the_chocola.mp4,scp_blocked_by_approval,stage1 training/eval history length; memory helps this case
libero10-2165,libero_10,2165,put the white mug on the plate and put the chocolate pudding to the right of the plate add 15,stage2_step3000_h4,runs/mem_temporal_libero_stage2/checkpoints/weights/step_003000.pt,true,4,1,false,/tmp/fastwam_case_videos/26-06-21/libero10_2165/stage2_step3000/libero_10/videos/2026_06_21-18_57_34--episode=task2165_trial0--success=False--task=put_the_white_mug_on_the_plate_and_put_the_chocola.mp4,scp_blocked_by_approval,H4 loses the stage2 H16 benefit on this long task
libero10-2165,libero_10,2165,put the white mug on the plate and put the chocolate pudding to the right of the plate add 15,stage2_step3000_h16,runs/mem_temporal_libero_stage2/checkpoints/weights/step_003000.pt,true,16,1,true,/tmp/fastwam_case_videos/26-06-21/libero10_2165/stage2_step3000_h16/libero_10/videos/2026_06_21-19_00_13--episode=task2165_trial0--success=True--task=put_the_white_mug_on_the_plate_and_put_the_chocola.mp4,scp_blocked_by_approval,stage2 training/eval history length; memory helps this case
libero10-2165,libero_10,2165,put the white mug on the plate and put the chocolate pudding to the right of the plate add 15,stage3_step3000_h4,runs/mem_temporal_libero_stage3/checkpoints/weights/step_003000.pt,true,4,1,false,/tmp/fastwam_case_videos/26-06-21/libero10_2165/stage3_step3000/libero_10/videos/2026_06_21-18_57_34--episode=task2165_trial0--success=False--task=put_the_white_mug_on_the_plate_and_put_the_chocola.mp4,scp_blocked_by_approval,stage3 trained/evaluated with H4; fails despite full DiT unfreeze
